GEOID,County_name,Attribute,Value
19001,Adair County,Grocery_stores_per_thousand,0.285
19001,Adair County,Supercenters_club_stores_per_thousand,0
19001,Adair County,Convenience_stores_per_thousand,0.999
19001,Adair County,Specialized_food_stores_per_thousand,0
19001,Adair County,Fast_food_restaurants_per_thousand,0.428
19001,Adair County,Farmers_markets_per_thousand,0.283
19001,Adair County,Percent_low_access_to_store_households,0.023
19001,Adair County,Food_insecurity_rate,0.096
19003,Adams County,Grocery_stores_per_thousand,0.269
19003,Adams County,Supercenters_club_stores_per_thousand,0
19003,Adams County,Convenience_stores_per_thousand,0.538
19003,Adams County,Specialized_food_stores_per_thousand,0
19003,Adams County,Fast_food_restaurants_per_thousand,0.538
19003,Adams County,Farmers_markets_per_thousand,0.274
19003,Adams County,Percent_low_access_to_store_households,0.003
19003,Adams County,Food_insecurity_rate,0.094
19005,Allamakee County,Grocery_stores_per_thousand,0.505
19005,Allamakee County,Supercenters_club_stores_per_thousand,0
19005,Allamakee County,Convenience_stores_per_thousand,0.577
19005,Allamakee County,Specialized_food_stores_per_thousand,0.072
19005,Allamakee County,Fast_food_restaurants_per_thousand,0.288
19005,Allamakee County,Farmers_markets_per_thousand,0.145
19005,Allamakee County,Percent_low_access_to_store_households,0.014
19005,Allamakee County,Food_insecurity_rate,0.084
19007,Appanoose County,Grocery_stores_per_thousand,0.4
19007,Appanoose County,Supercenters_club_stores_per_thousand,0.08
19007,Appanoose County,Convenience_stores_per_thousand,0.64
19007,Appanoose County,Specialized_food_stores_per_thousand,0.16
19007,Appanoose County,Fast_food_restaurants_per_thousand,0.72
19007,Appanoose County,Farmers_markets_per_thousand,0
19007,Appanoose County,Percent_low_access_to_store_households,0.029
19007,Appanoose County,Food_insecurity_rate,0.137
19009,Audubon County,Grocery_stores_per_thousand,0.177
19009,Audubon County,Supercenters_club_stores_per_thousand,0
19009,Audubon County,Convenience_stores_per_thousand,0.532
19009,Audubon County,Specialized_food_stores_per_thousand,0
19009,Audubon County,Fast_food_restaurants_per_thousand,0.355
19009,Audubon County,Farmers_markets_per_thousand,0.182
19009,Audubon County,Percent_low_access_to_store_households,0.019
19009,Audubon County,Food_insecurity_rate,0.091
19011,Benton County,Grocery_stores_per_thousand,0.117
19011,Benton County,Supercenters_club_stores_per_thousand,0
19011,Benton County,Convenience_stores_per_thousand,0.663
19011,Benton County,Specialized_food_stores_per_thousand,0
19011,Benton County,Fast_food_restaurants_per_thousand,0.234
19011,Benton County,Farmers_markets_per_thousand,0.195
19011,Benton County,Percent_low_access_to_store_households,0.022
19011,Benton County,Food_insecurity_rate,0.076
19013,Black Hawk County,Grocery_stores_per_thousand,0.181
19013,Black Hawk County,Supercenters_club_stores_per_thousand,0.03
19013,Black Hawk County,Convenience_stores_per_thousand,0.459
19013,Black Hawk County,Specialized_food_stores_per_thousand,0.083
19013,Black Hawk County,Fast_food_restaurants_per_thousand,0.632
19013,Black Hawk County,Farmers_markets_per_thousand,0.045
19013,Black Hawk County,Percent_low_access_to_store_households,0.024
19013,Black Hawk County,Food_insecurity_rate,0.099
19015,Boone County,Grocery_stores_per_thousand,0.151
19015,Boone County,Supercenters_club_stores_per_thousand,0
19015,Boone County,Convenience_stores_per_thousand,0.416
19015,Boone County,Specialized_food_stores_per_thousand,0.038
19015,Boone County,Fast_food_restaurants_per_thousand,0.303
19015,Boone County,Farmers_markets_per_thousand,0.038
19015,Boone County,Percent_low_access_to_store_households,0.013
19015,Boone County,Food_insecurity_rate,0.077
19017,Bremer County,Grocery_stores_per_thousand,0.242
19017,Bremer County,Supercenters_club_stores_per_thousand,0.04
19017,Bremer County,Convenience_stores_per_thousand,0.565
19017,Bremer County,Specialized_food_stores_per_thousand,0.081
19017,Bremer County,Fast_food_restaurants_per_thousand,0.403
19017,Bremer County,Farmers_markets_per_thousand,0.12
19017,Bremer County,Percent_low_access_to_store_households,0.013
19017,Bremer County,Food_insecurity_rate,0.062
19019,Buchanan County,Grocery_stores_per_thousand,0.19
19019,Buchanan County,Supercenters_club_stores_per_thousand,0.048
19019,Buchanan County,Convenience_stores_per_thousand,0.571
19019,Buchanan County,Specialized_food_stores_per_thousand,0.048
19019,Buchanan County,Fast_food_restaurants_per_thousand,0.333
19019,Buchanan County,Farmers_markets_per_thousand,0.047
19019,Buchanan County,Percent_low_access_to_store_households,0.048
19019,Buchanan County,Food_insecurity_rate,0.079
19021,Buena Vista County,Grocery_stores_per_thousand,0.247
19021,Buena Vista County,Supercenters_club_stores_per_thousand,0.049
19021,Buena Vista County,Convenience_stores_per_thousand,0.592
19021,Buena Vista County,Specialized_food_stores_per_thousand,0.099
19021,Buena Vista County,Fast_food_restaurants_per_thousand,0.395
19021,Buena Vista County,Farmers_markets_per_thousand,0.05
19021,Buena Vista County,Percent_low_access_to_store_households,0.021
19021,Buena Vista County,Food_insecurity_rate,0.082
19023,Butler County,Grocery_stores_per_thousand,0.272
19023,Butler County,Supercenters_club_stores_per_thousand,0
19023,Butler County,Convenience_stores_per_thousand,0.681
19023,Butler County,Specialized_food_stores_per_thousand,0.204
19023,Butler County,Fast_food_restaurants_per_thousand,0.204
19023,Butler County,Farmers_markets_per_thousand,0
19023,Butler County,Percent_low_access_to_store_households,0.029
19023,Butler County,Food_insecurity_rate,0.086
19025,Calhoun County,Grocery_stores_per_thousand,0.306
19025,Calhoun County,Supercenters_club_stores_per_thousand,0
19025,Calhoun County,Convenience_stores_per_thousand,0.714
19025,Calhoun County,Specialized_food_stores_per_thousand,0.102
19025,Calhoun County,Fast_food_restaurants_per_thousand,0.408
19025,Calhoun County,Farmers_markets_per_thousand,0.309
19025,Calhoun County,Percent_low_access_to_store_households,0.009
19025,Calhoun County,Food_insecurity_rate,0.088
19027,Carroll County,Grocery_stores_per_thousand,0.295
19027,Carroll County,Supercenters_club_stores_per_thousand,0.049
19027,Carroll County,Convenience_stores_per_thousand,0.589
19027,Carroll County,Specialized_food_stores_per_thousand,0.098
19027,Carroll County,Fast_food_restaurants_per_thousand,0.687
19027,Carroll County,Farmers_markets_per_thousand,0.099
19027,Carroll County,Percent_low_access_to_store_households,0.011
19027,Carroll County,Food_insecurity_rate,0.076
19029,Cass County,Grocery_stores_per_thousand,0.455
19029,Cass County,Supercenters_club_stores_per_thousand,0.076
19029,Cass County,Convenience_stores_per_thousand,0.607
19029,Cass County,Specialized_food_stores_per_thousand,0.076
19029,Cass County,Fast_food_restaurants_per_thousand,0.607
19029,Cass County,Farmers_markets_per_thousand,0.309
19029,Cass County,Percent_low_access_to_store_households,0.017
19029,Cass County,Food_insecurity_rate,0.108
19031,Cedar County,Grocery_stores_per_thousand,0.163
19031,Cedar County,Supercenters_club_stores_per_thousand,0
19031,Cedar County,Convenience_stores_per_thousand,0.761
19031,Cedar County,Specialized_food_stores_per_thousand,0.054
19031,Cedar County,Fast_food_restaurants_per_thousand,0.38
19031,Cedar County,Farmers_markets_per_thousand,0.161
19031,Cedar County,Percent_low_access_to_store_households,0.023
19031,Cedar County,Food_insecurity_rate,0.066
19033,Cerro Gordo County,Grocery_stores_per_thousand,0.255
19033,Cerro Gordo County,Supercenters_club_stores_per_thousand,0.046
19033,Cerro Gordo County,Convenience_stores_per_thousand,0.488
19033,Cerro Gordo County,Specialized_food_stores_per_thousand,0.093
19033,Cerro Gordo County,Fast_food_restaurants_per_thousand,0.882
19033,Cerro Gordo County,Farmers_markets_per_thousand,0.07
19033,Cerro Gordo County,Percent_low_access_to_store_households,0.009
19033,Cerro Gordo County,Food_insecurity_rate,0.092
19035,Cherokee County,Grocery_stores_per_thousand,0.263
19035,Cherokee County,Supercenters_club_stores_per_thousand,0
19035,Cherokee County,Convenience_stores_per_thousand,0.614
19035,Cherokee County,Specialized_food_stores_per_thousand,0
19035,Cherokee County,Fast_food_restaurants_per_thousand,0.789
19035,Cherokee County,Farmers_markets_per_thousand,0
19035,Cherokee County,Percent_low_access_to_store_households,0.016
19035,Cherokee County,Food_insecurity_rate,0.09
19037,Chickasaw County,Grocery_stores_per_thousand,0.249
19037,Chickasaw County,Supercenters_club_stores_per_thousand,0
19037,Chickasaw County,Convenience_stores_per_thousand,0.746
19037,Chickasaw County,Specialized_food_stores_per_thousand,0
19037,Chickasaw County,Fast_food_restaurants_per_thousand,0.414
19037,Chickasaw County,Farmers_markets_per_thousand,0.084
19037,Chickasaw County,Percent_low_access_to_store_households,0.028
19037,Chickasaw County,Food_insecurity_rate,0.075
19039,Clarke County,Grocery_stores_per_thousand,0.323
19039,Clarke County,Supercenters_club_stores_per_thousand,0.108
19039,Clarke County,Convenience_stores_per_thousand,0.538
19039,Clarke County,Specialized_food_stores_per_thousand,0
19039,Clarke County,Fast_food_restaurants_per_thousand,0.538
19039,Clarke County,Farmers_markets_per_thousand,0.106
19039,Clarke County,Percent_low_access_to_store_households,0.009
19039,Clarke County,Food_insecurity_rate,0.098
19041,Clay County,Grocery_stores_per_thousand,0.123
19041,Clay County,Supercenters_club_stores_per_thousand,0.061
19041,Clay County,Convenience_stores_per_thousand,0.613
19041,Clay County,Specialized_food_stores_per_thousand,0.123
19041,Clay County,Fast_food_restaurants_per_thousand,1.225
19041,Clay County,Farmers_markets_per_thousand,0.124
19041,Clay County,Percent_low_access_to_store_households,0.012
19041,Clay County,Food_insecurity_rate,0.099
19043,Clayton County,Grocery_stores_per_thousand,0.283
19043,Clayton County,Supercenters_club_stores_per_thousand,0
19043,Clayton County,Convenience_stores_per_thousand,0.68
19043,Clayton County,Specialized_food_stores_per_thousand,0.113
19043,Clayton County,Fast_food_restaurants_per_thousand,0.51
19043,Clayton County,Farmers_markets_per_thousand,0.342
19043,Clayton County,Percent_low_access_to_store_households,0.031
19043,Clayton County,Food_insecurity_rate,0.103
19045,Clinton County,Grocery_stores_per_thousand,0.169
19045,Clinton County,Supercenters_club_stores_per_thousand,0.021
19045,Clinton County,Convenience_stores_per_thousand,0.55
19045,Clinton County,Specialized_food_stores_per_thousand,0.042
19045,Clinton County,Fast_food_restaurants_per_thousand,0.55
19045,Clinton County,Farmers_markets_per_thousand,0.064
19045,Clinton County,Percent_low_access_to_store_households,0.012
19045,Clinton County,Food_insecurity_rate,0.103
19047,Crawford County,Grocery_stores_per_thousand,0.293
19047,Crawford County,Supercenters_club_stores_per_thousand,0.059
19047,Crawford County,Convenience_stores_per_thousand,0.528
19047,Crawford County,Specialized_food_stores_per_thousand,0
19047,Crawford County,Fast_food_restaurants_per_thousand,0.528
19047,Crawford County,Farmers_markets_per_thousand,0.117
19047,Crawford County,Percent_low_access_to_store_households,0.029
19047,Crawford County,Food_insecurity_rate,0.111
19049,Dallas County,Grocery_stores_per_thousand,0.154
19049,Dallas County,Supercenters_club_stores_per_thousand,0.024
19049,Dallas County,Convenience_stores_per_thousand,0.416
19049,Dallas County,Specialized_food_stores_per_thousand,0.071
19049,Dallas County,Fast_food_restaurants_per_thousand,0.57
19049,Dallas County,Farmers_markets_per_thousand,0.044
19049,Dallas County,Percent_low_access_to_store_households,0.012
19049,Dallas County,Food_insecurity_rate,0.053
19051,Davis County,Grocery_stores_per_thousand,0.225
19051,Davis County,Supercenters_club_stores_per_thousand,0
19051,Davis County,Convenience_stores_per_thousand,0.674
19051,Davis County,Specialized_food_stores_per_thousand,0.112
19051,Davis County,Fast_food_restaurants_per_thousand,0.337
19051,Davis County,Farmers_markets_per_thousand,0.111
19051,Davis County,Percent_low_access_to_store_households,0.082
19051,Davis County,Food_insecurity_rate,0.078
19053,Decatur County,Grocery_stores_per_thousand,0.249
19053,Decatur County,Supercenters_club_stores_per_thousand,0
19053,Decatur County,Convenience_stores_per_thousand,0.497
19053,Decatur County,Specialized_food_stores_per_thousand,0
19053,Decatur County,Fast_food_restaurants_per_thousand,0.497
19053,Decatur County,Farmers_markets_per_thousand,0.253
19053,Decatur County,Percent_low_access_to_store_households,0.043
19053,Decatur County,Food_insecurity_rate,0.116
19055,Delaware County,Grocery_stores_per_thousand,0.058
19055,Delaware County,Supercenters_club_stores_per_thousand,0.058
19055,Delaware County,Convenience_stores_per_thousand,0.637
19055,Delaware County,Specialized_food_stores_per_thousand,0
19055,Delaware County,Fast_food_restaurants_per_thousand,0.347
19055,Delaware County,Farmers_markets_per_thousand,0.117
19055,Delaware County,Percent_low_access_to_store_households,0.028
19055,Delaware County,Food_insecurity_rate,0.072
19057,Des Moines County,Grocery_stores_per_thousand,0.151
19057,Des Moines County,Supercenters_club_stores_per_thousand,0.025
19057,Des Moines County,Convenience_stores_per_thousand,0.606
19057,Des Moines County,Specialized_food_stores_per_thousand,0.05
19057,Des Moines County,Fast_food_restaurants_per_thousand,0.858
19057,Des Moines County,Farmers_markets_per_thousand,0.077
19057,Des Moines County,Percent_low_access_to_store_households,0.021
19057,Des Moines County,Food_insecurity_rate,0.119
19059,Dickinson County,Grocery_stores_per_thousand,0.117
19059,Dickinson County,Supercenters_club_stores_per_thousand,0.058
19059,Dickinson County,Convenience_stores_per_thousand,0.76
19059,Dickinson County,Specialized_food_stores_per_thousand,0.117
19059,Dickinson County,Fast_food_restaurants_per_thousand,1.169
19059,Dickinson County,Farmers_markets_per_thousand,0.058
19059,Dickinson County,Percent_low_access_to_store_households,0.013
19059,Dickinson County,Food_insecurity_rate,0.082
19061,Dubuque County,Grocery_stores_per_thousand,0.155
19061,Dubuque County,Supercenters_club_stores_per_thousand,0.021
19061,Dubuque County,Convenience_stores_per_thousand,0.486
19061,Dubuque County,Specialized_food_stores_per_thousand,0.072
19061,Dubuque County,Fast_food_restaurants_per_thousand,0.724
19061,Dubuque County,Farmers_markets_per_thousand,0.031
19061,Dubuque County,Percent_low_access_to_store_households,0.013
19061,Dubuque County,Food_insecurity_rate,0.084
19063,Emmet County,Grocery_stores_per_thousand,0.314
19063,Emmet County,Supercenters_club_stores_per_thousand,0
19063,Emmet County,Convenience_stores_per_thousand,0.418
19063,Emmet County,Specialized_food_stores_per_thousand,0
19063,Emmet County,Fast_food_restaurants_per_thousand,0.628
19063,Emmet County,Farmers_markets_per_thousand,0.108
19063,Emmet County,Percent_low_access_to_store_households,0.012
19063,Emmet County,Food_insecurity_rate,0.088
19065,Fayette County,Grocery_stores_per_thousand,0.3
19065,Fayette County,Supercenters_club_stores_per_thousand,0
19065,Fayette County,Convenience_stores_per_thousand,0.751
19065,Fayette County,Specialized_food_stores_per_thousand,0
19065,Fayette County,Fast_food_restaurants_per_thousand,0.35
19065,Fayette County,Farmers_markets_per_thousand,0.203
19065,Fayette County,Percent_low_access_to_store_households,0.015
19065,Fayette County,Food_insecurity_rate,0.097
19067,Floyd County,Grocery_stores_per_thousand,0.126
19067,Floyd County,Supercenters_club_stores_per_thousand,0
19067,Floyd County,Convenience_stores_per_thousand,0.568
19067,Floyd County,Specialized_food_stores_per_thousand,0
19067,Floyd County,Fast_food_restaurants_per_thousand,0.379
19067,Floyd County,Farmers_markets_per_thousand,0.127
19067,Floyd County,Percent_low_access_to_store_households,0.026
19067,Floyd County,Food_insecurity_rate,0.115
19069,Franklin County,Grocery_stores_per_thousand,0.294
19069,Franklin County,Supercenters_club_stores_per_thousand,0
19069,Franklin County,Convenience_stores_per_thousand,0.49
19069,Franklin County,Specialized_food_stores_per_thousand,0
19069,Franklin County,Fast_food_restaurants_per_thousand,0.49
19069,Franklin County,Farmers_markets_per_thousand,0.099
19069,Franklin County,Percent_low_access_to_store_households,0.02
19069,Franklin County,Food_insecurity_rate,0.081
19071,Fremont County,Grocery_stores_per_thousand,0.431
19071,Fremont County,Supercenters_club_stores_per_thousand,0.144
19071,Fremont County,Convenience_stores_per_thousand,0.718
19071,Fremont County,Specialized_food_stores_per_thousand,0
19071,Fremont County,Fast_food_restaurants_per_thousand,0.575
19071,Fremont County,Farmers_markets_per_thousand,0.143
19071,Fremont County,Percent_low_access_to_store_households,0.043
19071,Fremont County,Food_insecurity_rate,0.089
19073,Greene County,Grocery_stores_per_thousand,0.111
19073,Greene County,Supercenters_club_stores_per_thousand,0
19073,Greene County,Convenience_stores_per_thousand,0.999
19073,Greene County,Specialized_food_stores_per_thousand,0
19073,Greene County,Fast_food_restaurants_per_thousand,0.555
19073,Greene County,Farmers_markets_per_thousand,0.111
19073,Greene County,Percent_low_access_to_store_households,0.022
19073,Greene County,Food_insecurity_rate,0.09
19075,Grundy County,Grocery_stores_per_thousand,0.407
19075,Grundy County,Supercenters_club_stores_per_thousand,0
19075,Grundy County,Convenience_stores_per_thousand,0.569
19075,Grundy County,Specialized_food_stores_per_thousand,0.081
19075,Grundy County,Fast_food_restaurants_per_thousand,0.081
19075,Grundy County,Farmers_markets_per_thousand,0.081
19075,Grundy County,Percent_low_access_to_store_households,0.02
19075,Grundy County,Food_insecurity_rate,0.064
19077,Guthrie County,Grocery_stores_per_thousand,0.376
19077,Guthrie County,Supercenters_club_stores_per_thousand,0
19077,Guthrie County,Convenience_stores_per_thousand,0.563
19077,Guthrie County,Specialized_food_stores_per_thousand,0
19077,Guthrie County,Fast_food_restaurants_per_thousand,0.563
19077,Guthrie County,Farmers_markets_per_thousand,0.187
19077,Guthrie County,Percent_low_access_to_store_households,0.013
19077,Guthrie County,Food_insecurity_rate,0.082
19079,Hamilton County,Grocery_stores_per_thousand,0.265
19079,Hamilton County,Supercenters_club_stores_per_thousand,0
19079,Hamilton County,Convenience_stores_per_thousand,0.596
19079,Hamilton County,Specialized_food_stores_per_thousand,0.066
19079,Hamilton County,Fast_food_restaurants_per_thousand,0.199
19079,Hamilton County,Farmers_markets_per_thousand,0.067
19079,Hamilton County,Percent_low_access_to_store_households,0.019
19079,Hamilton County,Food_insecurity_rate,0.084
19081,Hancock County,Grocery_stores_per_thousand,0.184
19081,Hancock County,Supercenters_club_stores_per_thousand,0
19081,Hancock County,Convenience_stores_per_thousand,0.459
19081,Hancock County,Specialized_food_stores_per_thousand,0
19081,Hancock County,Fast_food_restaurants_per_thousand,0.367
19081,Hancock County,Farmers_markets_per_thousand,0.373
19081,Hancock County,Percent_low_access_to_store_households,0.012
19081,Hancock County,Food_insecurity_rate,0.085
19083,Hardin County,Grocery_stores_per_thousand,0.349
19083,Hardin County,Supercenters_club_stores_per_thousand,0
19083,Hardin County,Convenience_stores_per_thousand,0.756
19083,Hardin County,Specialized_food_stores_per_thousand,0.058
19083,Hardin County,Fast_food_restaurants_per_thousand,0.465
19083,Hardin County,Farmers_markets_per_thousand,0.237
19083,Hardin County,Percent_low_access_to_store_households,0.019
19083,Hardin County,Food_insecurity_rate,0.088
19085,Harrison County,Grocery_stores_per_thousand,0.355
19085,Harrison County,Supercenters_club_stores_per_thousand,0
19085,Harrison County,Convenience_stores_per_thousand,0.711
19085,Harrison County,Specialized_food_stores_per_thousand,0.071
19085,Harrison County,Fast_food_restaurants_per_thousand,0.569
19085,Harrison County,Farmers_markets_per_thousand,0.142
19085,Harrison County,Percent_low_access_to_store_households,0.015
19085,Harrison County,Food_insecurity_rate,0.086
19087,Henry County,Grocery_stores_per_thousand,0.101
19087,Henry County,Supercenters_club_stores_per_thousand,0.051
19087,Henry County,Convenience_stores_per_thousand,0.556
19087,Henry County,Specialized_food_stores_per_thousand,0.051
19087,Henry County,Fast_food_restaurants_per_thousand,0.455
19087,Henry County,Farmers_markets_per_thousand,0.05
19087,Henry County,Percent_low_access_to_store_households,0.03
19087,Henry County,Food_insecurity_rate,0.093
19089,Howard County,Grocery_stores_per_thousand,0.216
19089,Howard County,Supercenters_club_stores_per_thousand,0
19089,Howard County,Convenience_stores_per_thousand,0.539
19089,Howard County,Specialized_food_stores_per_thousand,0.108
19089,Howard County,Fast_food_restaurants_per_thousand,0.324
19089,Howard County,Farmers_markets_per_thousand,0.544
19089,Howard County,Percent_low_access_to_store_households,0.039
19089,Howard County,Food_insecurity_rate,0.078
19091,Humboldt County,Grocery_stores_per_thousand,0.315
19091,Humboldt County,Supercenters_club_stores_per_thousand,0
19091,Humboldt County,Convenience_stores_per_thousand,0.734
19091,Humboldt County,Specialized_food_stores_per_thousand,0
19091,Humboldt County,Fast_food_restaurants_per_thousand,0.42
19091,Humboldt County,Farmers_markets_per_thousand,0.105
19091,Humboldt County,Percent_low_access_to_store_households,0.012
19091,Humboldt County,Food_insecurity_rate,0.103
19093,Ida County,Grocery_stores_per_thousand,0.287
19093,Ida County,Supercenters_club_stores_per_thousand,0
19093,Ida County,Convenience_stores_per_thousand,0.719
19093,Ida County,Specialized_food_stores_per_thousand,0
19093,Ida County,Fast_food_restaurants_per_thousand,0.287
19093,Ida County,Farmers_markets_per_thousand,0.146
19093,Ida County,Percent_low_access_to_store_households,0.011
19093,Ida County,Food_insecurity_rate,0.084
19095,Iowa County,Grocery_stores_per_thousand,0.247
19095,Iowa County,Supercenters_club_stores_per_thousand,0
19095,Iowa County,Convenience_stores_per_thousand,0.803
19095,Iowa County,Specialized_food_stores_per_thousand,0.185
19095,Iowa County,Fast_food_restaurants_per_thousand,0.371
19095,Iowa County,Farmers_markets_per_thousand,0.124
19095,Iowa County,Percent_low_access_to_store_households,0.021
19095,Iowa County,Food_insecurity_rate,0.073
19097,Jackson County,Grocery_stores_per_thousand,0.103
19097,Jackson County,Supercenters_club_stores_per_thousand,0.052
19097,Jackson County,Convenience_stores_per_thousand,0.825
19097,Jackson County,Specialized_food_stores_per_thousand,0.052
19097,Jackson County,Fast_food_restaurants_per_thousand,0.309
19097,Jackson County,Farmers_markets_per_thousand,0.154
19097,Jackson County,Percent_low_access_to_store_households,0.022
19097,Jackson County,Food_insecurity_rate,0.095
19099,Jasper County,Grocery_stores_per_thousand,0.164
19099,Jasper County,Supercenters_club_stores_per_thousand,0.027
